job,count
employé, 633  
veuve, 625  
ménagère, 754
négociant, 284  
couturière, 468  
typographe, 197  
jardinier, 183  
commis, 178  
mécanicien, 165  
ménagère,160
instit,159
maçon,153
menuis,152
représ,148
peintre,147
prof,146
empi.,133
tailleur,130
employé,130
manœuvre,126
serrurier,111
menuisier,111
voyag,109
agric,108
journal,103
coiff,98
chauff,98
jardinier,95
ling,94
serrur,91
compt,90
charretier,86
rentière,84
pension,80
laitier,80
négoc,78
médecin,78
"empi, postal",78
cordonn,75
couturière,75
rent,75
cuisin,73
concierge,73
diaconesse,73
cafetier,72
boucher,70
